,id,matrix_gpa,language_test_scores,reading_test_score,math_test_scores,total_points,matrix_languauge,matrix_math,matrix_reading,status,matrix_languauge_retest,matrix_math_retest,matrix_reading_restest,total_points_retest,updated_at,guardian1_email,guardian2_email,grade,deliver_test_accomodation_approved,test_date_sign_up,current_school,gpa,language_test_scores2,reading_test_score2,math_test_scores2
0,1,,,,,0,,,,In Processing,,,,,2025-01-10 9:36:05,,,9,,January 18 2025,Other,,,,
1,2,30.0,99.0,99.0,97.0,119.0,30.0,29.0,30.0,Eligible,30,29,30,119.0,2024-10-03 9:34:02,,,9,,December 14 2024,Trinity Episcopal School,4.0,99.0,99.0,97.0
2,3,,55.0,50.0,31.0,15.0,8.0,1.0,6.0,In Processing,8,1,6,15,2024-10-01 10:14:34,,,9,,March 22 2025 (No-rest option),Edward Hynes Lakeview,,55.0,50.0,31.0
3,4,30.0,83.0,98.0,72.0,99.0,22.0,17.0,30.0,In Processing,22,17,30,99.0,2024-10-05 8:55:30,,,9,,December 14 2024,Edward Hynes Lakeview,3.5,83.0,98.0,72.0
4,5,30.0,83.0,98.0,72.0,99.0,22.0,17.0,30.0,Eligible,22,17,30,99.0,2024-10-05 8:55:30,,,9,,December 14 2024,Edward Hynes Lakeview,3.5,83.0,98.0,72.0
5,6,30.0,85.0,99.0,99.0,113.0,23.0,30.0,30.0,Eligible,23,30,30,113.0,2024-10-01 8:22:29,,,9,,November 16 2024,The Willow School,4.0,85.0,99.0,99.0
6,7,30.0,79.0,99.0,99.0,110.0,20.0,30.0,30.0,Eligible,20,30,30,110.0,2024-10-29 9:31:09,,,9,,December 14 2024,Edward Hynes Lakeview,3.75,79.0,99.0,99.0
7,8,,47.0,86.0,44.0,31.0,4.0,3.0,24.0,In Processing,4,3,24,31,2024-10-01 11:28:56,,,9,,March 22 2025 (No-rest option),International School of Louisiana,,47.0,86.0,44.0
8,9,,67.0,95.0,60.0,53.0,14.0,11.0,28.0,In Processing,14,11,28,53,2024-10-12 21:11:31,,,9,,April 26 2025 (No-rest option),Edward Hynes Parkview,,67.0,95.0,60.0
9,10,,68.0,62.0,50.0,33.0,15.0,6.0,12.0,In Processing,15,6,12,33,2024-10-17 18:31:11,,,9,,December 14 2024,Trinity Episcopal School,,68.0,62.0,50.0
10,11,,33.0,54.0,69.0,24.0,1.0,15.0,8.0,In Processing,1,15,8,24,2024-10-01 7:35:59,,,9,,February 15 2025 (No-rest option),Foundation Preparatory Charter School,,33.0,54.0,69.0
11,12,30.0,79.0,99.0,97.0,109.0,20.0,29.0,30.0,Eligible,20,29,30,109.0,2024-10-03 7:28:18,,,9,,November 16 2024,The Willow School,3.63,79.0,99.0,97.0
12,13,30.0,76.0,85.0,97.0,101.0,19.0,29.0,23.0,Eligible,19,29,23,101.0,2024-10-02 17:09:05,,,9,,November 16 2024,Audubon Uptown Montessori and French,4.0,76.0,85.0,97.0
13,14,30.0,95.0,90.0,99.0,114.0,28.0,30.0,26.0,,28,30,26,114.0,2024-09-23 20:16:35,,,8,,January 18 2025,Trinity Episcopal School,4.0,95.0,90.0,99.0
14,15,30.0,93.0,99.0,99.0,117.0,27.0,30.0,30.0,Eligible,27,30,30,117.0,2024-10-01 9:33:21,,,9,,November 16 2024,Lake Forest Elementary Charter School,4.0,93.0,99.0,99.0
15,16,30.0,99.0,99.0,99.0,120.0,30.0,30.0,30.0,Eligible,30,30,30,120.0,2024-10-24 20:25:53,,,9,,December 14 2024,The Willow School,4.0,99.0,99.0,99.0
16,17,17.0,96.0,82.0,96.0,97.0,29.0,29.0,22.0,Eligible,29,29,22,97.0,2024-11-07 21:31:12,,,9,,January 18 2025,St. George's Episcopal School,2.25,96.0,82.0,96.0
17,18,,70.0,61.0,76.0,46.0,16.0,19.0,11.0,In Processing,16,19,11,46,2024-10-01 10:16:26,,,9,,March 22 2025 (No-rest option),Arthur Ashe Charter School,,70.0,61.0,76.0
18,19,30.0,82.0,99.0,76.0,101.0,22.0,19.0,30.0,Eligible,22,19,30,101.0,2024-10-03 2:32:31,,,9,,December 14 2024,Waldorf School of New Orleans,4.0,82.0,99.0,76.0
19,20,,64.0,67.0,38.0,28.0,13.0,1.0,14.0,In Processing,13,1,14,28,2024-10-07 12:38:55,,,9,,December 14 2024,Trinity Episcopal School,,64.0,67.0,38.0
20,21,27.0,78.0,92.0,92.0,101.0,20.0,27.0,27.0,Eligible,20,27,27,101.0,2024-10-01 12:37:14,,,9,,November 16 2024,Lake Forest Elementary Charter School,3.25,78.0,92.0,92.0
21,22,,,,,0,,,,In Processing,,,,,2025-01-14 18:03:38,,,9,,,Arthur Ashe Charter School,,,,
22,23,30.0,76.0,83.0,83.0,93.0,19.0,22.0,22.0,Eligible,19,22,22,93.0,2024-10-11 19:46:50,,,9,,November 16 2024,International School of Louisiana,4.0,76.0,83.0,83.0
23,24,30.0,82.0,80.0,96.0,102.0,22.0,29.0,21.0,Eligible,22,29,21,102.0,2024-10-11 9:03:00,,,9,,December 14 2024,Bricolage Academy,3.88,82.0,80.0,96.0
24,25,,61.0,79.0,46.0,35.0,11.0,4.0,20.0,In Processing,11,4,20,35,2024-10-02 13:35:30,,,10,,February 15 2025 (No-rest option),St. Augustine High School,,61.0,79.0,46.0
25,26,30.0,88.0,86.0,71.0,95.0,25.0,16.0,24.0,Eligible,25,16,24,95.0,2024-10-02 13:48:43,,,9,,November 16 2024,Mount Carmel Academy,3.66,88.0,86.0,71.0
26,27,,,,,0,,,,In Processing,,,,,2024-10-01 19:04:33,,,10,,January 18 2025,Other,,,,
27,28,30.0,79.0,77.0,65.0,82.0,20.0,13.0,19.0,Eligible,20,13,19,82.0,2024-10-01 8:35:41,,,9,,March 22 2025 (No-rest option),St. Paul's Episcopal School,3.5,79.0,77.0,65.0
28,29,30.0,86.0,99.0,96.0,113.0,24.0,29.0,30.0,Eligible,24,29,30,113.0,2024-10-01 8:28:25,,,9,,November 16 2024,Edward Hynes Lakeview,4.0,86.0,99.0,96.0
29,30,30.0,83.0,98.0,96.0,111.0,22.0,29.0,30.0,Eligible,22,29,30,111.0,2025-04-09 20:06:47,,,9,,November 16 2024,Audubon Uptown Montessori and French,4.0,83.0,98.0,96.0
30,31,30.0,88.0,94.0,85.0,106.0,25.0,23.0,28.0,Eligible,25,23,28,106.0,2024-11-05 14:44:47,,,9,,January 18 2025,St. George's Episcopal School,3.75,88.0,94.0,85.0
31,32,30.0,76.0,99.0,99.0,109.0,19.0,30.0,30.0,Eligible,19,30,30,109.0,2024-10-06 13:38:01,,,9,,January 18 2025,Lake Forest Elementary Charter School,3.88,76.0,99.0,99.0
32,33,,54.0,43.0,45.0,13.0,8.0,3.0,2.0,In Processing,8,3,2,13,2024-10-28 9:35:56,,,9,,December 14 2024,International School of Louisiana,,54.0,43.0,45.0
33,34,,52.0,13.0,30.0,9.0,7.0,1.0,1.0,In Processing,7,1,1,9,2024-10-28 9:38:12,,,9,Test Accommodations Approved,December 14 2024,International School of Louisiana,,52.0,13.0,30.0
34,35,30.0,52.0,98.0,91.0,93.0,7.0,26.0,30.0,Eligible,7,26,30,93.0,2024-10-01 9:18:45,,,9,,December 14 2024,Edward Hynes Lakeview,3.75,52.0,98.0,91.0
35,36,,48.0,56.0,46.0,18.0,5.0,4.0,9.0,In Processing,5,4,9,18,2024-10-01 7:52:27,,,9,,November 16 2024,Bricolage Academy,,48.0,56.0,46.0
36,37,,,,,0,,,,In Processing,,,,,2024-10-01 13:49:18,,,9,,,Bricolage Academy,,,,
37,38,,79.0,98.0,70.0,66.0,20.0,16.0,30.0,In Processing,20,16,30,66,2024-10-03 10:17:18,,,10,,April 26 2025 (No-rest option),Other,,79.0,98.0,70.0
38,39,30.0,99.0,99.0,99.0,120.0,30.0,30.0,30.0,Eligible,30,30,30,120.0,2024-10-01 8:17:33,,,9,,November 16 2024,St. Paul's Episcopal School,4.0,99.0,99.0,99.0
39,40,30.0,83.0,99.0,98.0,112.0,22.0,30.0,30.0,Eligible,22,30,30,112.0,2024-10-03 8:08:49,,,9,,November 16 2024,The Willow School,3.88,83.0,99.0,98.0
40,41,30.0,88.0,71.0,90.0,97.0,25.0,26.0,16.0,Eligible,25,26,16,97.0,2024-10-01 12:59:55,,,9,,January 18 2025,The Willow School,3.88,88.0,71.0,90.0
41,42,29.0,96.0,74.0,66.0,90.0,29.0,14.0,18.0,Eligible,29,14,18,90.0,2025-04-09 20:18:24,,,9,,April 26 2025 (No-rest option),Lake Castle Private School,3.41,96.0,74.0,66.0
42,43,23.0,76.0,99.0,98.0,102.0,19.0,30.0,30.0,Eligible,19,30,30,102.0,2024-10-01 6:54:29,,,9,,November 16 2024,Edward Hynes Lakeview,2.88,76.0,99.0,98.0
43,44,30.0,80.0,96.0,99.0,110.0,21.0,30.0,29.0,Eligible,21,30,29,110.0,2024-10-01 6:20:58,,,9,,December 14 2024,Bricolage Academy,4.0,80.0,96.0,99.0
44,45,,35.0,81.0,54.0,30.0,1.0,8.0,21.0,In Processing,1,8,21,30,2024-10-23 14:55:48,,,9,,December 14 2024,Lycee Francais de la Nouvelle Orleans,,35.0,81.0,54.0
45,46,30.0,75.0,99.0,83.0,100.0,18.0,22.0,30.0,Eligible,18,22,30,100.0,2024-10-01 9:22:39,,,9,,November 16 2024,Edward Hynes Lakeview,3.88,75.0,99.0,83.0
46,47,30.0,92.0,96.0,89.0,111.0,27.0,25.0,29.0,Eligible,27,25,29,111.0,2024-10-01 0:20:26,,,9,,November 16 2024,Audubon Uptown Montessori and French,4.0,92.0,96.0,89.0
47,48,,40.0,46.0,63.0,17.0,1.0,12.0,4.0,In Processing,1,12,4,17,2024-10-01 4:21:57,,,9,,November 16 2024,Dorothy Height Charter School,,40.0,46.0,63.0
48,49,30.0,84.0,85.0,99.0,106.0,23.0,30.0,23.0,Eligible,23,30,23,106.0,2024-10-01 5:42:02,,,9,,November 16 2024,Lake Forest Elementary Charter School,3.87,84.0,85.0,99.0
49,50,30.0,82.0,99.0,98.0,112.0,22.0,30.0,30.0,Eligible,22,30,30,112.0,2024-10-01 6:01:25,,,9,,November 16 2024,Audubon Uptown Montessori and French,4.0,82.0,99.0,98.0
50,51,30.0,85.0,99.0,99.0,113.0,23.0,30.0,30.0,Eligible,23,30,30,113.0,2024-10-01 6:14:59,,,9,,November 16 2024,St. George's Episcopal School,3.75,85.0,99.0,99.0
51,52,,90.0,62.0,52.0,45.0,26.0,7.0,12.0,In Processing,26,7,12,45,2024-10-01 6:25:58,,,10,,December 14 2024,Other,,90.0,62.0,52.0
52,53,30.0,87.0,99.0,96.0,113.0,24.0,29.0,30.0,Eligible,24,29,30,113.0,2024-10-01 6:29:16,,,9,,December 14 2024,The Willow School,4.0,87.0,99.0,96.0
53,54,,,,,0,,,,In Processing,,,,,2024-10-01 6:32:02,,,10,,April 26 2025 (No-rest option),St. Augustine High School,,,,
54,55,,54.0,69.0,71.0,39.0,8.0,16.0,15.0,In Processing,8,16,15,39,2024-10-01 6:41:01,,,9,,March 22 2025 (No-rest option),Arthur Ashe Charter School,,54.0,69.0,71.0
55,56,25.0,69.0,81.0,92.0,88.0,15.0,27.0,21.0,Eligible,15,27,21,88.0,2024-10-01 6:35:48,,,9,,November 16 2024,Edward Hynes Lakeview,3.0,69.0,81.0,92.0
56,57,30.0,78.0,99.0,98.0,110.0,20.0,30.0,30.0,Eligible,20,30,30,110.0,2024-10-01 6:43:20,,,9,,November 16 2024,Audubon Uptown Montessori and French,3.75,78.0,99.0,98.0
57,58,30.0,94.0,94.0,93.0,113.0,28.0,27.0,28.0,Eligible,28,27,28,113.0,2024-10-01 7:19:51,,,9,,November 16 2024,Other,4.0,94.0,94.0,93.0
58,59,,44.0,56.0,44.0,15.0,3.0,3.0,9.0,In Processing,3,3,9,15,2024-10-01 7:20:50,,,9,,February 15 2025 (No-rest option),Foundation Preparatory Charter,,44.0,56.0,44.0
59,60,22.0,94.0,95.0,68.0,93.0,28.0,15.0,28.0,Eligible,28,15,28,93.0,2024-10-01 8:10:54,,,9,,December 14 2024,Edward Hynes Lakeview,2.75,94.0,95.0,68.0
60,61,30.0,82.0,87.0,69.0,91.0,22.0,15.0,24.0,Eligible,22,15,24,91.0,2024-10-01 8:25:16,,,9,Test Accommodations Approved,November 16 2024,Audubon Uptown Montessori and French,3.5,82.0,87.0,69.0
61,62,30.0,88.0,99.0,93.0,112.0,25.0,27.0,30.0,Eligible,25,27,30,112.0,2024-10-01 8:26:15,,,9,,November 16 2024,Audubon Uptown Montessori and French,4.0,88.0,99.0,93.0
62,63,30.0,94.0,99.0,97.0,117.0,28.0,29.0,30.0,Eligible,28,29,30,117.0,2024-10-01 8:33:37,,,9,,November 16 2024,Metairie Park Country Day,4.0,94.0,99.0,97.0
63,64,30.0,96.0,89.0,86.0,108.0,29.0,24.0,25.0,Eligible,29,24,25,108.0,2024-10-01 8:36:59,,,9,,November 16 2024,St. Paul's Episcopal School,4.0,96.0,89.0,86.0
64,65,30.0,88.0,97.0,96.0,113.0,25.0,29.0,29.0,Eligible,25,29,29,113.0,2024-10-01 8:39:22,,,9,,November 16 2024,Lake Forest Elementary Charter School,3.75,88.0,97.0,96.0
65,66,30.0,94.0,95.0,99.0,116.0,28.0,30.0,28.0,Eligible,28,30,28,116.0,2024-10-01 8:38:11,,,9,,November 16 2024,Edward Hynes Lakeview,4.0,94.0,95.0,99.0
66,67,30.0,87.0,94.0,74.0,100.0,24.0,18.0,28.0,Eligible,24,18,28,100.0,2024-10-01 8:54:21,,,9,,December 14 2024,Bricolage Academy,4.0,87.0,94.0,74.0
67,68,,63.0,63.0,57.0,33.0,12.0,9.0,12.0,In Processing,12,9,12,33,2024-10-01 8:59:43,,,9,,March 22 2025 (No-rest option),Edward Hynes Lakeview,,63.0,63.0,57.0
68,69,30.0,90.0,98.0,77.0,105.0,26.0,19.0,30.0,Eligible,26,19,30,105.0,2024-10-01 13:57:58,,,9,,November 16 2024,International School of Louisiana,3.75,90.0,98.0,77.0
69,70,30.0,97.0,99.0,99.0,119.0,29.0,30.0,30.0,Eligible,29,30,30,119.0,2024-10-01 9:19:24,,,9,,December 14 2024,The Willow School,4.0,97.0,99.0,99.0
70,71,30.0,96.0,99.0,99.0,119.0,29.0,30.0,30.0,Eligible,29,30,30,119.0,2024-10-01 9:22:53,,,9,,December 14 2024,The Willow School,4.0,96.0,99.0,99.0
71,72,,58.0,77.0,48.0,34.0,10.0,5.0,19.0,In Processing,10,5,19,34,2024-10-01 9:31:21,,,9,,April 26 2025 (No-rest option),Lycee Francais de la Nouvelle Orleans,,58.0,77.0,48.0
72,73,,42.0,49.0,51.0,13.0,2.0,6.0,5.0,In Processing,2,6,5,13,2024-10-01 9:37:03,,,9,,December 14 2024,Lake Forest Elementary Charter School,,42.0,49.0,51.0
73,74,,61.0,92.0,77.0,57.0,11.0,19.0,27.0,In Processing,11,19,27,57,2024-10-01 9:44:07,,,9,,February 15 2025 (No-rest option),International School of Louisiana,,61.0,92.0,77.0
74,75,,79.0,78.0,82.0,62.0,20.0,22.0,20.0,In Processing,20,22,20,62,2024-10-01 9:49:47,,,11,,March 22 2025 (No-rest option),Other,,79.0,78.0,82.0
75,76,30.0,88.0,85.0,69.0,93.0,25.0,15.0,23.0,Eligible,25,15,23,93.0,2024-10-01 10:01:21,,,9,,November 16 2024,St. Andrew's Episcopal School,4.0,88.0,85.0,69.0
76,77,,98.0,94.0,76.0,77.0,30.0,19.0,28.0,In Processing,30,19,28,77,2024-10-01 9:59:18,,,10,,April 26 2025 (No-rest option),Other,,98.0,94.0,76.0
77,78,,54.0,83.0,71.0,46.0,8.0,16.0,22.0,In Processing,8,16,22,46,2024-10-01 10:22:35,,,9,,March 22 2025 (No-rest option),Bricolage Academy,,54.0,83.0,71.0
78,79,30.0,99.0,99.0,99.0,120.0,30.0,30.0,30.0,Eligible,30,30,30,120.0,2024-10-01 10:29:55,,,9,,November 16 2024,Lake Forest Elementary Charter School,4.0,99.0,99.0,99.0
79,80,30.0,61.0,99.0,78.0,91.0,11.0,20.0,30.0,Eligible,11,20,30,91.0,2024-10-01 10:40:04,,,9,,December 14 2024,Audubon Uptown Montessori and French,3.75,61.0,99.0,78.0
80,81,30.0,99.0,99.0,83.0,112.0,30.0,22.0,30.0,Eligible,30,22,30,112.0,2024-10-01 10:53:02,,,9,,November 16 2024,Lycee Francais de la Nouvelle Orleans,4.0,99.0,99.0,83.0
81,82,30.0,95.0,96.0,95.0,115.0,28.0,28.0,29.0,Eligible,28,28,29,115.0,2024-10-01 11:11:01,,,9,,November 16 2024,Lake Forest Elementary Charter School,3.88,95.0,96.0,95.0
82,83,27.0,89.0,79.0,85.0,95.0,25.0,23.0,20.0,Eligible,25,23,20,95.0,2024-10-01 11:12:09,,,9,,December 14 2024,Trinity Episcopal School,3.25,89.0,79.0,85.0
83,84,30.0,94.0,97.0,94.0,115.0,28.0,28.0,29.0,Eligible,28,28,29,115.0,2024-10-01 11:19:22,,,11,,November 16 2024,Other,3.85,94.0,97.0,94.0
84,85,,37.0,56.0,38.0,11.0,1.0,1.0,9.0,In Processing,1,1,9,11,2024-10-01 11:39:29,,,9,,April 26 2025 (No-rest option),Audubon Gentilly,,37.0,56.0,38.0
85,86,21.0,81.0,99.0,99.0,102.0,21.0,30.0,30.0,Eligible,21,30,30,102.0,2024-10-01 11:45:04,,,9,,November 16 2024,Lake Castle Private School,2.63,81.0,99.0,99.0
86,87,28.0,85.0,99.0,97.0,110.0,23.0,29.0,30.0,Eligible,23,29,30,110.0,2024-10-01 21:02:12,,,9,,December 14 2024,Edward Hynes Lakeview,3.38,85.0,99.0,97.0
87,88,30.0,75.0,92.0,86.0,99.0,18.0,24.0,27.0,Eligible,18,24,27,99.0,2024-10-01 12:19:43,,,9,,November 16 2024,Trinity Episcopal School,3.75,75.0,92.0,86.0
88,89,,65.0,56.0,81.0,43.0,13.0,21.0,9.0,In Processing,13,21,9,43,2024-10-01 12:32:40,,,9,,March 22 2025 (No-rest option),Langston Hughes Academy,,65.0,56.0,81.0
89,90,,61.0,93.0,82.0,60.0,11.0,22.0,27.0,In Processing,11,22,27,60,2024-10-01 12:44:29,,,10,,March 22 2025 (No-rest option),Other,,61.0,93.0,82.0
90,91,30.0,96.0,95.0,76.0,106.0,29.0,19.0,28.0,Eligible,29,19,28,106.0,2025-03-27 9:58:00,,,10,,November 16 2024,The Willow School,3.8,96.0,95.0,76.0
91,92,30.0,93.0,99.0,99.0,117.0,27.0,30.0,30.0,Eligible,27,30,30,117.0,2024-10-01 13:13:10,,,9,,November 16 2024,Morris Jeff Community School,4.0,93.0,99.0,99.0
92,93,,45.0,92.0,93.0,57.0,3.0,27.0,27.0,In Processing,3,27,27,57,2024-10-01 13:37:13,,,9,,April 26 2025 (No-rest option),The Willow School,,45.0,92.0,93.0
93,94,30.0,82.0,92.0,89.0,104.0,22.0,25.0,27.0,Eligible,22,25,27,104.0,2024-10-01 13:43:49,,,9,,November 16 2024,Other,4.0,82.0,92.0,89.0
94,95,30.0,68.0,63.0,90.0,83.0,15.0,26.0,12.0,Eligible,15,26,12,83.0,2024-10-01 14:01:12,,,9,,February 15 2025 (No-rest option),Audubon Uptown Montessori and French,3.75,68.0,63.0,90.0
95,96,30.0,82.0,98.0,90.0,108.0,22.0,26.0,30.0,Eligible,22,26,30,108.0,2024-10-01 14:45:25,,,9,,November 16 2024,Edward Hynes Lakeview,3.75,82.0,98.0,90.0
96,97,,69.0,92.0,65.0,55.0,15.0,13.0,27.0,In Processing,15,13,27,55,2024-10-01 15:12:33,,,9,,March 22 2025 (No-rest option),Homer Plessy Community School,,69.0,92.0,65.0
97,98,,74.0,87.0,65.0,55.0,18.0,13.0,24.0,In Processing,18,13,24,55,2024-10-01 16:04:25,,,10,,March 22 2025 (No-rest option),Other,,74.0,87.0,65.0
98,99,26.0,68.0,89.0,95.0,94.0,15.0,28.0,25.0,Eligible,15,28,25,94.0,2024-10-01 15:57:17,,,9,,November 16 2024,Edward Hynes Lakeview,3.13,68.0,89.0,95.0
99,100,30.0,76.0,96.0,99.0,108.0,19.0,30.0,29.0,Eligible,19,30,29,108.0,2024-10-01 15:59:33,,,9,,November 16 2024,Lake Forest Elementary Charter School,3.5,76.0,96.0,99.0
100,101,,56.0,84.0,60.0,43,9,11,23,In Processing,,,,,2024-10-01 16:04:51,,,9,,March 22 2025 (No-rest option),Edward Hynes Lakeview,,,,
101,102,,,,,0,,,,In Processing,,,,,2024-10-01 16:41:13,,,9,,,The Willow School,,,,
102,103,,37.0,71.0,57.0,26,1,9,16,In Processing,,,,,2024-10-01 16:43:06,,,9,,March 22 2025 (No-rest option),Bricolage Academy,,,,
103,104,30.0,99.0,99.0,93.0,117.0,30,27,30,Eligible,,,,30.0,2024-10-01 16:54:12,,,11,,November 16 2024,International School of Louisiana,,,,
104,105,30.0,89.0,99.0,99.0,115.0,25,30,30,Eligible,,,,30.0,2024-10-01 17:13:34,,,9,,November 16 2024,Edward Hynes Lakeview,3.63,,,
105,106,,76.0,67.0,48.0,38,19,5,14,In Processing,,,,,2024-10-01 17:24:06,,,10,,December 14 2024,Other,,,,
106,107,,76.0,67.0,48.0,38,19,5,14,In Processing,,,,,2024-10-01 17:24:06,,,10,,December 14 2024,Other,,,,
107,108,30.0,87.0,99.0,97.0,113.0,24,29,30,Eligible,,,,30.0,2024-10-01 18:01:53,,,9,,December 14 2024,Audubon Uptown Montessori and French,4.0,,,
108,109,30.0,85.0,94.0,83.0,103.0,23,22,28,Eligible,,,,30.0,2024-10-01 21:01:54,,,9,,November 16 2024,Ecole Bilingue,4.0,,,
109,110,,85.0,90.0,98.0,79,23,30,26,In Processing,,,,,2024-10-01 18:13:28,,,10,,November 16 2024,Other,,,,
110,111,28.0,70.0,73.0,93.0,88.0,16,27,17,Eligible,,,,28.0,2024-10-01 18:27:32,,,9,,December 14 2024,Lake Castle Private School,3.38,,,
111,112,,93.0,97.0,48.0,61,27,5,29,In Processing,,,,,2024-10-01 19:08:52,,,10,,April 26 2025 (No-rest option),Other,,,,
112,113,,44.0,57.0,10.0,13,3,1,9,In Processing,,,,,2024-10-01 19:23:56,,,9,,April 26 2025 (No-rest option),Other,,,,
113,114,30.0,98.0,96.0,86.0,113.0,30,24,29,Eligible,,,,30.0,2024-10-01 20:19:29,,,9,,November 16 2024,Audubon Uptown Montessori and French,4.0,,,
114,115,30.0,89.0,99.0,97.0,114.0,25,29,30,Eligible,,,,30.0,2024-10-01 20:30:40,,,9,,November 16 2024,Audubon Uptown Montessori and French,4.0,,,
115,116,,54.0,77.0,99.0,57,8,30,19,In Processing,,,,,2024-10-01 20:36:24,,,9,,March 22 2025 (No-rest option),Lake Forest Elementary Charter School,,,,
116,117,30.0,96.0,92.0,99.0,116.0,29,30,27,Eligible,,,,30.0,2024-10-01 20:56:45,,,9,,November 16 2024,Audubon Uptown Montessori and French,4.0,,,
117,118,,77.0,71.0,97.0,64,19,29,16,In Processing,,,,,2024-10-01 21:00:28,,,9,,December 14 2024,Homer Plessy Community School,,,,
118,119,,,,,0,,,,In Processing,,,,,2024-10-01 21:12:57,,,11,,,Other,,,,
119,120,27.0,61.0,86.0,96.0,91.0,11,29,24,Eligible,,,,27.0,2024-10-01 21:18:47,,,9,,November 16 2024,Audubon Uptown Montessori and French,3.25,,,
120,121,30.0,80.0,80.0,98.0,102.0,21,30,21,Eligible,,,,30.0,2024-10-01 21:21:29,,,9,,November 16 2024,Lake Forest Elementary Charter School,3.88,,,
121,122,,27.0,44.0,88.0,29,1,25,3,In Processing,,,,,2024-10-03 22:06:30,,,9,,March 22 2025 (No-rest option),Phillis Wheatley Community School,,,,
122,123,30.0,93.0,97.0,85.0,109.0,27,23,29,Eligible,,,,30.0,2024-10-01 21:40:46,,,9,,December 14 2024,Renew Dolores T. Aaron Academy,4.0,,,
123,124,,17.0,10.0,24.0,3,1,1,1,In Processing,,,,,2024-10-01 22:08:28,,,9,,March 22 2025 (No-rest option),Phillis Wheatley Community School,,,,
124,125,30.0,94.0,92.0,99.0,115.0,28,30,27,Eligible,,,,30.0,2024-10-01 23:39:50,,,9,,November 16 2024,Edward Hynes Lakeview,3.88,,,
125,126,,8.0,16.0,44.0,5,1,3,1,In Processing,,,,,2024-10-01 23:46:55,,,9,,November 16 2024,Homer Plessy Community School,,,,
126,127,30.0,80.0,98.0,83.0,103.0,21,22,30,Eligible,,,,30.0,2024-10-02 0:54:42,,,9,,November 16 2024,Audubon Uptown Montessori and French,4.0,,,
127,128,23.0,68.0,95.0,60.0,77.0,15,11,28,In Processing,,,,23.0,2024-10-02 3:03:14,,,9,,February 15 2025 (No-rest option),St. Andrew's Episcopal School,2.88,,,
128,129,,77.0,90.0,96.0,74,19,29,26,In Processing,,,,,2024-10-02 4:41:12,,,9,,November 16 2024,Other,,,,
129,130,,89.0,87.0,95.0,77,25,28,24,In Processing,,,,,2024-10-02 6:57:03,,,11,,November 16 2024,Other,,,,
130,131,30.0,96.0,99.0,99.0,119.0,29,30,30,Eligible,,,,30.0,2024-10-02 7:00:08,,,9,,November 16 2024,Audubon Uptown Montessori and French,4.0,,,
131,132,30.0,89.0,99.0,99.0,115.0,25,30,30,Eligible,,,,30.0,2024-10-02 7:08:53,,,9,,November 16 2024,Bricolage Academy,3.75,,,
132,133,30.0,80.0,99.0,86.0,105.0,21,24,30,Eligible,,,,30.0,2024-10-02 7:52:44,,,9,,November 16 2024,Bricolage Academy,4.0,,,
133,134,30.0,99.0,99.0,99.0,120.0,30,30,30,Eligible,,,,30.0,2024-10-18 13:09:06,,,9,,November 16 2024,The Willow School,4.0,,,
134,135,,61.0,88.0,73.0,53,11,17,25,In Processing,,,,,2024-10-02 9:57:13,,,9,,February 15 2025 (No-rest option),Edward Hynes Lakeview,,,,
135,136,28.0,80.0,81.0,30.0,71.0,21,1,21,Eligible,,,,28.0,2024-10-02 9:59:11,,,9,,November 16 2024,Arthur Ashe Charter School,3.38,,,
136,137,,65.0,88.0,38.0,39,13,1,25,In Processing,,,,,2024-10-02 10:00:32,,,9,,March 22 2025 (No-rest option),Edward Hynes Parkview,,,,
137,138,30.0,80.0,80.0,99.0,102.0,21,30,21,Eligible,,,,30.0,2024-10-02 11:04:34,,,9,,November 16 2024,Edward Hynes Parkview,4.0,,,
138,139,,52.0,57.0,78.0,36,7,20,9,In Processing,,,,,2024-10-02 11:09:37,,,9,Test Accommodations Approved,December 14 2024,Ecole Bilingue,,,,
139,140,30.0,92.0,94.0,86.0,109.0,27,24,28,Eligible,,,,30.0,2024-10-02 11:28:19,,,9,,December 14 2024,Metairie Park Country Day,3.75,,,
140,141,,,,,0,,,,In Processing,,,,,2024-10-02 12:00:38,,,9,,,Metairie Park Country Day,,,,
141,142,30.0,61.0,89.0,86.0,90.0,11,24,25,Eligible,,,,30.0,2024-10-02 13:11:47,,,9,,December 14 2024,Lake Forest Elementary Charter School,3.63,,,
142,143,30.0,74.0,86.0,83.0,94.0,18,22,24,Eligible,,,,30.0,2024-10-02 12:37:34,,,9,,November 16 2024,Ecole Bilingue,4.0,,,
143,144,,44.0,56.0,16.0,13,3,1,9,In Processing,,,,,2024-10-02 14:50:42,,,9,,April 26 2025 (No-rest option),Lycee Francais de la Nouvelle Orleans,,,,
144,145,,,,,0,,,,In Processing,,,,,2024-10-02 14:54:52,,,11,,January 18 2025,Other,,,,
145,146,30.0,89.0,99.0,99.0,115.0,25,30,30,Eligible,,,,30.0,2024-10-02 14:59:18,,,9,,December 14 2024,Louise McGehee,4.0,,,
146,147,,29.0,73.0,62.0,30,1,12,17,In Processing,,,,,2024-10-02 15:17:55,,,9,,December 14 2024,Alice Harte Charter School,,,,
